Rh,Morph,w1detected,w2detected,Pwdetected,Twdetected,TPdetected,Rpk,RR,RRdb,RRda,RRIrr,w0a,w0d,w0p,w1a,w1d,w1p,w2a,w2d,w2p,Axis,QRSd,QRSa,pw_prof,PR,Pwd,Pwa,Pwdist,Twd,Twa,QT,STdev,TPa,TPf,TPfa,atrial_entr,TPdur,profile,baseline
0.0,4,0,0,0,1,0,860.0,860.0,0.0,96.66666666666663,0.0,-647.0,21,6,,,,,,,-90,70.0,647.0,378.0,,,,,440.0,182.0,531.5600000000001,-79.0,,,,,,4277.0,
0.0,4,0,0,0,1,1,1816.6666666666667,956.6666666666666,96.66666666666663,-3.3333333333332575,0.023203650707711347,-630.0,21,5,,,,,,,-90,70.0,630.0,429.0,,,,,393.3333333333333,164.0,500.0066666666666,16.0,166.0,6.65283203125,0.0011358598902018854,2.853221462249812,,5843.0,1766.1691542288559
0.0,18,1,0,1,1,1,2770.0,953.3333333333334,-3.3333333333332575,-3.3333333333333712,1.0383998884939716,-145.0,13,8,-622.0,21.0,5.0,,,,-20,113.33333333333333,622.0,178.0,183.33333333333334,86.66666666666667,7.0,3.738975232791038,406.6666666666667,155.0,543.8533333333334,51.0,37.0,6.11572265625,4.708258722850292e-05,2.8413119870559083,230.0,5839.0,692.0173353837552
0.0,18,1,0,1,1,1,3720.0,950.0,-3.3333333333333712,-3.3333333333333712,0.6958528568431358,-187.0,12,7,-615.0,22.0,6.0,,,,-27,113.33333333333333,615.0,165.0,186.66666666666666,86.66666666666667,7.0,3.3833898142544747,353.3333333333333,149.0,544.3666666666667,43.0,27.0,6.38427734375,2.2416965033452536e-05,2.927094412618505,223.33333333333334,5686.0,531.488896978522
0.0,18,1,0,1,1,1,4666.666666666667,946.6666666666666,-3.3333333333333712,-3.3333333333332575,0.5242473156010948,-167.0,13,8,-587.0,21.0,5.0,,,,-24,113.33333333333333,607.0,154.0,173.33333333333334,73.33333333333333,6.0,2.59199853283582,353.3333333333333,145.0,544.8799999999999,53.0,25.0,6.6650390625,4.49459813099254e-05,2.9426744565735152,233.33333333333334,5887.0,642.504118616145
0.0,4,1,0,1,1,1,5610.0,943.3333333333334,-3.3333333333332575,-3.3333333333333712,0.4211564194661596,-205.0,12,7,-659.0,22.0,6.0,,,,-27,113.33333333333333,659.0,189.0,180.0,83.33333333333333,9.0,3.5979678133122235,410.0,162.0,542.06,60.0,19.0,7.21435546875,4.181452674229836e-06,2.9931329331804424,223.33333333333334,6002.0,550.358979004824
0.0,18,1,0,1,1,1,6550.0,940.0,-3.3333333333333712,-6.666666666666629,0.35237220197288044,-161.0,12,7,-609.0,22.0,6.0,,,,-23,113.33333333333333,609.0,197.0,180.0,83.33333333333333,9.0,3.1256604287186303,330.0,171.0,542.5733333333334,59.0,29.0,6.23779296875,2.936938571726927e-05,2.876701422595758,223.33333333333334,6072.0,816.1164620248512
0.0,4,1,0,1,1,1,7483.333333333333,933.3333333333334,-6.666666666666629,16.66666666666663,0.3032345013477089,-202.0,12,7,-619.0,22.0,6.0,,,,-29,113.33333333333333,619.0,159.0,176.66666666666666,80.0,11.0,1.7844875005660246,350.0,142.0,543.6,50.0,44.0,6.43310546875,6.848718555794916e-05,2.8874433341677506,220.0,5976.0,675.5764429431634
0.0,18,1,0,1,1,1,8433.333333333334,950.0,16.66666666666663,-3.3333333333333712,0.26240628347018924,-184.0,12,7,-643.0,22.0,7.0,,,,-25,113.33333333333333,643.0,185.0,170.0,73.33333333333333,7.0,2.898778434414746,410.0,153.0,547.7,56.0,28.0,6.396484375,0.000253941985031431,2.8700262816131303,240.0,5928.0,719.2846034214618
0.0,18,1,0,1,1,1,9380.0,946.6666666666666,-3.3333333333333712,3.3333333333333712,0.0,-151.0,12,7,-629.0,21.0,6.0,,,,-21,110.0,629.0,212.0,176.66666666666666,80.0,7.0,3.7144955803021222,396.6666666666667,157.0,544.8799999999999,70.0,28.0,6.60400390625,0.0001331739934847154,2.946128319319795,230.0,5901.0,781.0879933642083
0.0,18,1,0,1,1,1,10330.0,950.0,3.3333333333333712,3.3333333333333712,0.0,-174.0,12,7,-593.0,21.0,6.0,,,,-26,110.0,593.0,175.0,190.0,86.66666666666667,8.0,0.93819200773674,426.6666666666667,195.0,544.3666666666667,59.0,27.0,3.662109375,4.048702451989733e-06,2.829091629396079,220.0,5767.0,728.1925494404416
0.0,18,1,0,1,1,1,11283.333333333334,953.3333333333334,3.3333333333333712,3.3333333333332575,0.0,-198.0,12,7,-593.0,21.0,6.0,,,,-30,110.0,593.0,167.0,210.0,106.66666666666667,18.0,4.273018661225972,426.6666666666667,157.0,543.8533333333334,53.0,48.0,6.48193359375,0.0006407178940354318,2.938502907780286,203.33333333333334,5832.0,829.3478561357919
0.0,18,1,0,1,1,1,12240.0,956.6666666666666,3.3333333333332575,-3.3333333333332575,0.0,-174.0,12,8,-672.0,22.0,6.0,,,,-23,113.33333333333333,672.0,166.0,176.66666666666666,80.0,8.0,2.9877726618731533,423.3333333333333,172.0,543.3399999999999,52.0,46.0,6.53076171875,0.00073794451454068,2.963848404137658,240.0,5901.0,570.436507936508
0.0,18,1,0,1,1,1,13193.333333333334,953.3333333333334,-3.3333333333332575,3.3333333333332575,0.0,-178.0,12,8,-653.0,22.0,6.0,,,,-24,113.33333333333333,653.0,170.0,170.0,73.33333333333333,14.0,2.9014629250760464,350.0,158.0,543.8533333333334,55.0,48.0,6.2744140625,3.076860360287696e-05,2.8148724788665307,243.33333333333334,5930.0,547.5256455977678
0.0,4,1,0,1,1,1,14150.0,956.6666666666666,3.3333333333332575,-3.3333333333332575,0.0,-204.0,12,7,-608.0,21.0,6.0,,,,-30,110.0,608.0,159.0,176.66666666666666,80.0,4.0,1.45275005850295,333.3333333333333,160.0,543.3399999999999,57.0,39.0,6.65283203125,6.430520139331976e-05,2.9375380991905136,240.0,5841.0,575.6578947368421
0.0,4,1,0,1,1,1,15103.333333333334,953.3333333333334,-3.3333333333332575,3.3333333333332575,0.0,-205.0,12,7,-654.0,22.0,6.0,,,,-28,113.33333333333333,654.0,153.0,170.0,76.66666666666667,10.0,1.9663402241841261,413.3333333333333,175.0,543.8533333333334,61.0,32.0,5.16357421875,0.00019582480097357145,2.807128224848906,243.33333333333334,5895.0,571.8235515897951
0.0,18,1,0,1,1,1,16060.0,956.6666666666666,3.3333333333332575,3.3333333333333712,0.0,-168.0,12,8,-652.0,21.0,6.0,,,,-23,110.0,652.0,199.0,173.33333333333334,80.0,15.0,3.2468151651561126,410.0,164.0,543.3399999999999,51.0,35.0,5.8349609375,2.0620909228397737e-05,2.647257852508467,243.33333333333334,5915.0,756.3660811832926
0.0,18,1,0,1,1,1,17020.0,960.0,3.3333333333333712,3.3333333333333712,0.0,-148.0,12,8,-616.0,22.0,6.0,,,,-21,113.33333333333333,616.0,166.0,196.66666666666666,90.0,8.0,2.702940180529435,413.3333333333333,155.0,546.1600000000001,58.0,28.0,5.37109375,1.1099826931653007e-05,2.8987581700705034,223.33333333333334,5739.0,581.5080441946113
0.0,18,1,0,1,1,1,17983.333333333332,963.3333333333334,3.3333333333333712,6.666666666666629,0.0,-163.0,12,7,-581.0,22.0,7.0,,,,-25,113.33333333333333,581.0,151.0,176.66666666666666,80.0,9.0,2.48408253953642,416.6666666666667,162.0,548.98,56.0,44.0,6.43310546875,3.9098038938599595e-05,3.0024304675441216,240.0,5683.0,674.1250717154331
0.0,4,1,0,1,1,1,18953.333333333332,970.0,6.666666666666629,3.3333333333333712,0.0,-209.0,13,7,-618.0,21.0,5.0,,,,-28,113.33333333333333,659.0,176.0,200.0,100.0,9.0,3.7398567599497436,426.6666666666667,151.0,544.62,59.0,35.0,6.5673828125,7.493369395537528e-05,2.8937151198755235,226.66666666666666,5604.0,836.8294206908865
0.0,18,1,0,1,1,1,19926.666666666668,973.3333333333334,3.3333333333333712,0.0,0.0,-172.0,12,7,-639.0,22.0,7.0,,,,-24,113.33333333333333,639.0,183.0,200.0,106.66666666666667,10.0,3.954956925855761,433.3333333333333,160.0,550.7733333333333,60.0,40.0,6.6650390625,0.00012487196205688558,2.9550106088852726,226.66666666666666,5547.0,552.3336095001381
