Rh,Morph,w1detected,w2detected,Pwdetected,Twdetected,TPdetected,Rpk,RR,RRdb,RRda,RRIrr,w0a,w0d,w0p,w1a,w1d,w1p,w2a,w2d,w2p,Axis,QRSd,QRSa,pw_prof,PR,Pwd,Pwa,Pwdist,Twd,Twa,QT,STdev,TPa,TPf,TPfa,atrial_entr,TPdur,profile,baseline
1.0,25,1,0,1,1,0,263.3333333333333,263.3333333333333,0.0,1150.0,0.0,104.0,9,5,-105.0,15.0,5.0,,,,0,80.0,205.0,57.0,193.33333333333334,76.66666666666667,13.0,1.4268697524148948,246.66666666666666,21.0,622.718,-5.0,,,,,,681.0,
1.0,25,1,0,1,1,1,1676.6666666666667,1413.3333333333333,1150.0,-93.33333333333326,0.06984866123399301,92.0,9,5,-113.0,15.0,5.0,,,,-9,80.0,205.0,76.0,180.0,66.66666666666667,4.0,0.0,330.0,20.0,523.0133333333333,-9.0,9.0,4.7607421875,7.77565371955681e-06,2.3085129729269473,680.0,819.0,1004.3041606886658
1.0,25,1,0,1,1,1,2996.6666666666665,1320.0,-93.33333333333326,-76.66666666666674,0.7084829019459664,99.0,10,7,-102.0,14.0,4.0,,,,-1,80.0,194.0,51.0,180.0,56.666666666666664,5.0,-0.05820117927478741,240.0,27.0,440.72,-3.0,12.0,3.8330078125,5.9990042712612694e-06,2.280768052715211,550.0,777.0,946.5791940018744
1.0,25,1,0,1,1,1,4240.0,1243.3333333333333,-76.66666666666674,-20.0,0.7584567932446782,105.0,10,7,-100.0,14.0,4.0,,,,2,80.0,202.0,66.0,180.0,70.0,4.0,1.1127595743659704,383.3333333333333,26.0,439.1933333333334,-10.0,11.0,3.99169921875,6.098885699893704e-06,1.9756200243102096,570.0,830.0,964.0437727983324
1.0,25,1,0,1,1,1,5463.333333333333,1223.3333333333333,-20.0,40.0,0.8029392834155761,98.0,10,7,-125.0,14.0,4.0,,,,-12,80.0,199.0,89.0,186.66666666666666,80.0,6.0,2.099528860411109,443.3333333333333,31.0,488.94000000000005,-8.0,11.0,4.6630859375,1.1483577438738266e-05,2.3046247260340715,556.6666666666666,811.0,1110.3421298107303
1.0,25,1,0,1,1,1,6726.666666666667,1263.3333333333333,40.0,10.0,0.7346694259884545,109.0,10,7,-91.0,14.0,3.0,,,,8,80.0,199.0,58.0,193.33333333333334,83.33333333333333,5.0,0.9644632106713544,196.66666666666666,22.0,422.78,-9.0,9.0,5.0537109375,5.02715340394189e-06,2.810970091865816,546.6666666666666,806.0,827.3072680475549
1.0,25,1,0,1,1,1,8000.0,1273.3333333333333,10.0,-6.666666666666515,0.6857564953908541,112.0,10,6,-98.0,14.0,4.0,,,,6,80.0,206.0,79.0,190.0,100.0,10.0,2.2715085588077955,270.0,22.0,474.57333333333327,-10.0,12.0,4.1259765625,8.084594332318102e-06,2.396124030079825,613.3333333333334,859.0,1060.5740818910933
1.0,25,1,0,1,1,1,9266.666666666666,1266.6666666666667,-6.666666666666515,-43.333333333333485,0.6720973026345317,98.0,10,7,-108.0,14.0,4.0,,,,-4,80.0,197.0,73.0,180.0,73.33333333333333,5.0,1.2640118250648307,306.6666666666667,21.0,528.9333333333333,-8.0,9.0,3.80859375,6.868874217706354e-06,2.5647155795239867,566.6666666666666,772.0,842.0424007166318
1.0,25,1,0,0,1,1,10490.0,1223.3333333333333,-43.333333333333485,56.66666666666674,0.6195968670293207,67.0,11,7,-86.0,15.0,5.0,,,,-11,86.66666666666667,153.0,61.0,,,,,220.0,22.0,448.94,-12.0,22.0,3.03955078125,1.1701760243684964e-05,2.8365846391635112,,666.0,1203.64977674238
1.0,25,1,0,1,1,1,11770.0,1280.0,56.66666666666674,-6.6666666666667425,0.5815943190038034,97.0,10,7,-119.0,14.0,4.0,,,,-9,80.0,213.0,73.0,186.66666666666666,73.33333333333333,4.0,0.2609587412454353,416.6666666666667,30.0,510.2133333333333,-10.0,12.0,4.62646484375,6.397297991583706e-06,2.3458903322102906,583.3333333333334,838.0,861.1670020120723
